EMPRESA (SIGLA);EMPRESA (NOME);EMPRESA (NACIONALIDADE);ANO;MÊS;AEROPORTO DE ORIGEM (SIGLA);AEROPORTO DE ORIGEM (NOME);AEROPORTO DE ORIGEM (UF);AEROPORTO DE ORIGEM (REGIÃO);AEROPORTO DE ORIGEM (PAÍS);AEROPORTO DE ORIGEM (CONTINENTE);AEROPORTO DE DESTINO (SIGLA);AEROPORTO DE DESTINO (NOME);AEROPORTO DE DESTINO (UF);AEROPORTO DE DESTINO (REGIÃO);AEROPORTO DE DESTINO (PAÍS);AEROPORTO DE DESTINO (CONTINENTE);NATUREZA;GRUPO DE VOO;PASSAGEIROS PAGOS;PASSAGEIROS GRÁTIS;CARGA PAGA (KG);CARGA GRÁTIS (KG);CORREIO (KG);ASK;RPK;ATK;RTK;COMBUSTÍVEL (LITROS);DISTÂNCIA VOADA (KM);DECOLAGENS;CARGA PAGA KM;CARGA GRATIS KM;CORREIO KM;ASSENTOS;PAYLOAD;HORAS VOADAS;BAGAGEM (KG)
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4966;317;197935;0;2101;69513400;40939700;11500400;5333660;0;255564;31;1631780000;0;17320600;8432;1395000;311,267;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2218;74;21317;0;5;25212000;17142900;4173660;1707650;0;92748;12;164759000;0;38645;3262;540000;112,417;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;6327;222;309466;0;3327;69650400;48490100;12569000;6761340;0;229920;30;2371750000;0;25498100;9088;1640000;280,084;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5353;196;132005;462;16764;45581600;35956100;8765680;4235320;0;194793;29;886678000;3103250;112604000;6786;1305000;238,6;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;17724;432;402988;0;4577;152714000;116518000;28662600;13165900;0;591660;90;2649240000;0;30089200;23230;4360000;728,928;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;2490;72;39279;0;1280;23125200;19245200;3825860;2045540;0;85019;11;303587000;0;9893120;2992;495000;108,567;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6637;274;137526;0;18030;52123900;44580700;10041900;5057120;0;221661;33;923762000;0;121108000;7760;1495000;283,432;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6501;250;222918;0;4057;65028700;53594200;10758400;6694650;0;239076;29;1837740000;0;33445900;7888;1305000;301,066;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KFDW;WINNSBORO, SOUTH CAROLINA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;233;12;9334;0;202;2010350;1722100;332595;225469;0;7391;1;68987600;0;1492980;272;45000;10,317;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;7059;202;351350;0;0;69650400;54100200;12569000;7561750;0;229920;30;2692750000;0;0;9088;1640000;292,185;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;18823;484;537665;0;22166;152964000;123742000;28662600;14817100;0;591660;90;3534610000;0;145719000;23268;4360000;740,503;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;2;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;3761;265;233980;0;7044;62580200;31005700;10016500;4777500;0;222588;27;1928930000;0;58070700;7591;1215000;269,836;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;2;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2239;141;44998;0;0;25227500;17305200;4173660;1905260;0;92748;12;347790000;0;0;3264;540000;113,018;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;2;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;5681;238;317886;0;3046;65236000;43539200;11802600;6378140;0;214592;28;2436280000;0;23344500;8512;1540000;260,068;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;9286;382;189220;0;11405;91001900;62374100;16322300;6961240;0;362718;54;1270990000;0;76607400;13548;2430000;446,446;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;2;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;15325;378;518172;0;3561;141473000;100747000;26559000;12497000;0;552216;84;3406460000;0;23410000;21520;4040000;683,236;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;1915;51;9904;0;0;18920600;14801000;3130240;1408640;0;69561;9;76548000;0;0;2448;405000;86,967;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;2;SBGL;RIO DE JANEIRO;RJ;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;11054;385;281944;0;14259;93339400;74249700;16624600;8672040;0;369435;55;1893820000;0;95777700;13896;2475000;469,301;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KDFW;DALLAS & FORT WORTH, TEXAS;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;4911;308;273771;0;5629;64979200;40486300;10469900;5947130;0;230832;28;2256970000;0;46405500;7882;1270000;287,501;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KJFK;NEW YORK, NEW YORK;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6151;172;371233;0;0;62369600;47141300;11304400;7087830;0;206928;27;2845130000;0;0;8138;1475000;257,684;0
AAL;AMERICAN AIRLINES, INC.;ESTRANGEIRA;2022;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;KMIA;MIAMI, FLORIDA;;;ESTADOS UNIDOS DA AMÉRICA;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;16720;327;670949;0;26951;141262000;109917000;26361700;14480500;0;552216;84;4410820000;0;177176000;21488;4010000;676,17;0
ACA;AIR CANADA;ESTRANGEIRA;2022;1;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;754;2;60148;0;0;;;;;;;;;;;;;;0
ACA;AIR CANADA;ESTRANGEIRA;2022;1;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1941;48;12242;0;0;42658300;21948100;6864160;2564870;0;114016;14;589544000;0;0;5238;842849;138,35;0
ACA;AIR CANADA;ESTRANGEIRA;2022;1;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;7040;118;234331;0;757;114306000;57685800;16002900;7118020;0;254014;31;1920110000;0;6202860;13950;1953000;305,034;0
ACA;AIR CANADA;ESTRANGEIRA;2022;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;941;4;63829;0;0;;;;;;;;;;;;;;0
ACA;AIR CANADA;ESTRANGEIRA;2022;1;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2640;41;1414;0;0;9794740;6166480;1559870;667322;0;25830;15;112348000;0;0;5688;905849;40,049;0
ACA;AIR CANADA;ESTRANGEIRA;2022;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;3024;54;167617;0;0;46323100;32291000;7377230;4791080;0;122160;15;1884900000;0;0;5688;905849;159,667;0
ACA;AIR CANADA;ESTRANGEIRA;2022;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;9696;77;354778;0;3583;114306000;79449000;16002900;10086800;0;254014;31;2907050000;0;29359100;13950;1953000;328,751;0
ACA;AIR CANADA;ESTRANGEIRA;2022;1;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;2020;33;61148;0;0;9019840;4776830;1451380;638778;0;24108;14;208872000;0;0;5238;842849;39,733;0
ACA;AIR CANADA;ESTRANGEIRA;2022;2;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;610;2;58444;0;0;;;;;;;;;;;;;;0
ACA;AIR CANADA;ESTRANGEIRA;2022;2;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1700;57;22399;0;365;27021800;18812600;5610260;2354490;0;97728;12;658385000;0;2972560;3318;688884;119,3;0
ACA;AIR CANADA;ESTRANGEIRA;2022;2;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;4566;130;325692;0;2200;100680000;37413800;14362600;6053980;0;229432;28;2668720000;0;18026800;12287;1752810;278,935;0
ACA;AIR CANADA;ESTRANGEIRA;2022;2;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;233;0;43567;0;0;;;;;;;;;;;;;;0
ACA;AIR CANADA;ESTRANGEIRA;2022;2;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1795;39;6686;0;0;5274490;3492220;1087390;400830;0;18942;11;86535700;0;0;3063;631477;27,9;0
ACA;AIR CANADA;ESTRANGEIRA;2022;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYUL;MONTREAL, QUEBEC;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;749;10;19107;0;0;10733800;7997410;2337610;1230180;0;40720;5;510417000;0;0;1318;287035;56,583;0
ACA;AIR CANADA;ESTRANGEIRA;2022;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;CYYZ;TORONTO;;;CANADÁ;AMÉRICA DO NORTE;INTERNACIONAL;REGULAR;6148;157;437359;0;5512;97082500;50376700;14362600;8162780;0;229432;28;3583720000;0;45165300;11848;1752810;298,351;0
ACA;AIR CANADA;ESTRANGEIRA;2022;2;SBGR;GUARULHOS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;SAEZ;EZEIZA, BUENOS AIRES PROVINCE;;;ARGENTINA;AMÉRICA DO SUL;INTERNACIONAL;REGULAR;1889;60;26276;0;0;5713600;4303280;1186250;533177;0;20664;12;145888000;0;0;3318;688884;40,815;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;5823;0;14;0;0;0;0;17734;33,95;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBMD;ALMEIRIM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;109;0;0;0;0;87318;50358;13707;4353;6867;10164;22;0;0;0;189;29693;40,2333;1272
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBPJ;PALMAS;TO;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;696;990;1;0;0;0;0;0;3,9;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;470;710;1;0;0;0;0;0;2,61667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;10;0;0;0;0;12780;7100;1704;622;997;1420;2;0;0;0;18;2402;5,91667;128
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBSN;SANTARÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;54;0;0;0;0;76680;38340;10396;3066;5683;8520;12;0;0;0;108;14648;32,2333;276
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SBTU;TUCURUÍ;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;120;0;0;0;0;51300;36000;8096;3128;4221;5700;19;0;0;0;171;27013;25,7;1458
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNEB;PARAGOMINAS;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;75;0;0;0;0;24084;16725;3897;1462;2122;2676;12;0;0;0;108;17496;13,1333;955
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNVS;BREVES;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;18;0;0;0;0;7920;3960;1616;305;798;1100;5;0;0;0;36;7358;4,9;45
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNVS;BREVES;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;113;0;0;0;0;43560;24860;7446;2047;3628;5060;23;0;0;0;198;33886;22,7;879
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBE;BELÉM;PA;NORTE;BRASIL;AMÉRICA DO SUL;SNYA;ALMEIRIM;PA;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;594;912;2;0;0;0;0;0;3,55;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBG;BAGÉ;RS;SUL;BRASIL;AMÉRICA DO SUL;SBPA;PORTO ALEGRE;RS;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;126;0;0;0;0;52002;40446;8175;3056;4128;5778;18;0;0;0;162;25489;25,25;99
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBH;BELO HORIZONTE;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;0;0;0;0;0;31;0;440;25;1;0;0;0;0;1248;2,66667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0;0;0;0;0;7371;0;941;0;561;819;1;0;0;0;9;1150;3,16667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBR;BRASÍLIA;DF;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBPJ;PALMAS;TO;NORTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0;0;0;0;0;5598;0;785;0;421;622;1;0;0;0;9;1263;2,4;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;321;400;1;0;0;0;0;0;1,86667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;72;0;0;0;0;61200;28800;9334;2170;4806;6800;17;0;0;0;153;23348;28,0333;27
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCA;CASCAVEL;PR;SUL;BRASIL;AMÉRICA DO SUL;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;0;0;0;0;0;589;0;321;439;1;0;0;0;0;1342;1,88333;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBBH;BELO HORIZONTE;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;0;0;0;0;0;30;0;462;25;1;0;0;0;0;1230;2,66667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;4741;0;11;0;0;0;0;13801;28,25;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBIL;ILHÉUS;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;535;749;1;0;0;0;0;0;2,98333;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBIL;ILHÉUS;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;NÃO REGULAR;0;0;0;0;0;6741;0;889;0;515;749;1;0;0;0;9;1188;2,91667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBIL;ILHÉUS;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;0;0;0;0;0;881;0;529;749;1;0;0;0;0;1177;3,06667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;1782;2505;5;0;0;0;0;0;10,6833;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;0;0;0;0;0;8615;0;4478;6513;13;0;0;0;0;17211;26,6667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBKP;CAMPINAS;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;0;0;0;0;0;1239;0;894;998;2;0;0;0;0;2484;5,21667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCF;CONFINS;MG;SUDESTE;BRASIL;AMÉRICA DO SUL;SBSV;SALVADOR;BA;NORDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;641;960;1;0;0;0;0;0;3,66667;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;1561;0;3;0;0;0;0;3550;8,9;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;IMPRODUTIVO;0;0;0;0;0;0;0;0;0;264;346;1;0;0;0;0;0;1,5;0
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SBJD;JUNDIAÍ;SP;SUDESTE;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;2;0;0;0;0;12456;692;1962;55;900;1384;4;0;0;0;36;5678;5,51667;13
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);BRASILEIRA;2022;1;SBCT;SÃO JOSÉ DOS PINHAIS;PR;SUL;BRASIL;AMÉRICA DO SUL;SBMG;MARINGÁ;PR;SUL;BRASIL;AMÉRICA DO SUL;DOMÉSTICA;REGULAR;0;0;0;0;0;0;0;474;0;382;367;1;0;0;0;0;1294;2,25;0
